               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,             0.02576,            0.031155,                   0,              0.8818,             0.95039,             0.96528,             0.68553,            0.024191,            0.035721,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.026503,            0.030414,                   0,             0.91236,             0.92837,             0.97469,             0.70068,            0.024662,            0.033203,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.027335,            0.028687,                   0,             0.93988,             0.89623,             0.96787,             0.70574,            0.022521,            0.035591,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.027013,              0.0306,                   0,             0.89415,              0.9685,             0.97379,             0.59561,            0.029885,            0.034042,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.02429,            0.027948,                   0,             0.91126,              0.9172,             0.96967,              0.6606,            0.025093,            0.034943,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.025184,             0.03053,                   0,             0.87051,             0.93631,              0.9696,             0.61734,             0.03103,            0.036285,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.026676,            0.030721,                   0,             0.87844,             0.94268,             0.96744,             0.72352,            0.021313,            0.035683,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.025625,            0.031111,                   0,             0.92402,              0.9172,             0.97418,             0.65037,            0.027033,            0.035301,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.024871,            0.031016,                   0,             0.91475,             0.91083,             0.96548,             0.64855,            0.025722,            0.036133,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.024323,             0.02937,                   0,             0.91461,             0.90446,             0.96331,             0.65866,            0.025849,            0.037247,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025689,             0.03006,                   0,             0.90667,             0.93631,             0.96888,             0.71846,            0.021769,            0.034401,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.026608,             0.02842,                   0,             0.95945,             0.88535,             0.96493,             0.68326,            0.024945,            0.037773,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.024743,            0.028924,                   0,             0.92784,             0.93631,             0.98096,               0.728,            0.022171,            0.031231,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.025368,            0.029832,                   0,             0.88526,             0.93631,             0.96712,             0.62224,            0.028078,            0.037285,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.025603,            0.029804,                   0,             0.88655,             0.94904,             0.95663,             0.71173,            0.022659,            0.037598,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.025673,            0.029232,                   0,             0.91216,             0.95541,             0.96665,             0.63827,            0.026678,            0.033562,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.023884,            0.028966,                   0,             0.90716,             0.93352,             0.96016,             0.69096,            0.022528,            0.035988,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.023233,            0.028763,                   0,             0.92381,             0.93631,             0.96978,              0.7291,            0.020868,            0.033653,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.024191,            0.029039,                   0,             0.95987,              0.9142,             0.97391,             0.70261,            0.023305,            0.034554,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.024145,            0.029041,                   0,             0.95905,             0.89498,             0.97232,             0.71543,            0.021375,            0.034203,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.022738,            0.029389,                   0,             0.94121,             0.91777,             0.97675,             0.72822,            0.021986,            0.033436,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.023424,            0.029272,                   0,             0.88909,             0.91909,             0.95987,             0.72828,            0.020939,            0.037148,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.023546,              0.0295,                   0,             0.91138,              0.9172,             0.96763,             0.68534,            0.023778,            0.034348,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.024403,            0.029053,                   0,             0.90202,             0.92994,             0.96211,             0.68363,             0.02334,            0.035828,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.022933,            0.029812,                   0,             0.87595,             0.93631,             0.95821,             0.68101,            0.023144,            0.037582,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.024823,            0.028874,                   0,             0.88572,               0.938,             0.96396,             0.69597,            0.023903,            0.036942,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.023801,            0.030715,                   0,             0.91067,             0.90912,             0.96122,             0.73456,             0.02031,            0.036148,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.024201,            0.028888,                   0,             0.88674,             0.93631,             0.97104,              0.6989,            0.024813,            0.035042,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.023306,            0.030089,                   0,             0.86187,             0.95541,              0.9678,              0.7088,            0.023101,            0.035866,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.024828,            0.028852,                   0,             0.90088,              0.9172,             0.96835,             0.68457,            0.024183,             0.03495,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.024813,             0.02986,                   0,             0.92835,             0.90776,              0.9733,             0.73037,             0.02059,             0.03389,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.02293,            0.027835,                   0,             0.88145,             0.94716,             0.97523,             0.75023,            0.020485,             0.03352,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.020746,            0.026804,                   0,             0.88552,             0.94268,             0.97793,             0.74558,            0.019831,            0.034073,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.023295,            0.027558,                   0,               0.875,             0.93629,             0.96116,             0.73529,            0.019532,              0.0383,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.023451,            0.025738,                   0,             0.88133,             0.94904,             0.97265,             0.70458,            0.023192,             0.03566,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.022826,            0.027694,                   0,             0.85886,             0.96897,             0.97295,             0.74968,            0.020999,            0.033787,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.02185,            0.027222,                   0,             0.90267,             0.88605,             0.95907,             0.71351,            0.022292,            0.037018,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.022873,            0.028349,                   0,             0.94362,             0.88535,             0.96155,             0.74615,            0.020279,            0.035679,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.022687,            0.028151,                   0,             0.90021,             0.92994,             0.96808,              0.7012,            0.023768,            0.035141,                   0,            0.006469,            0.006469,            0.006469
                 109,              0.0231,            0.028473,                   0,              0.8982,             0.92357,             0.96364,             0.72548,            0.020266,            0.034184,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.021854,            0.026977,                   0,             0.92275,             0.91302,             0.96564,             0.71712,            0.021914,            0.035576,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.022035,            0.027612,                   0,             0.89083,             0.93557,              0.9693,             0.72678,             0.02072,            0.035027,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.022538,            0.027552,                   0,             0.88876,             0.95541,             0.97528,             0.73848,             0.02001,            0.032669,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.022323,            0.027513,                   0,             0.89617,             0.94268,             0.97093,             0.73508,            0.020074,            0.032402,                   0,            0.006304,            0.006304,            0.006304
